metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n
ause,aleatoric,0.2262169946317424,0.2262169946317424,0.007920429371029871,0.21638405924908766,0.23604993001439717,5
ause,epistemic,0.22105373074526752,0.22105373074526752,0.007903408797477822,0.2112419258079552,0.23086553568257984,5
ause,total,0.20710054769079939,0.20710054769079939,0.008475842364709973,0.19657808654865502,0.21762300883294375,5
ence,aleatoric,0.17158311790996641,0.17158311790996641,0.03149243240565661,0.13248636716813394,0.21067986865179889,5
ence,epistemic,0.1996199160036233,0.1996199160036233,0.05831556187315423,0.1272231904170948,0.2720166415901518,5
ence,total,0.1686930584428167,0.1686930584428167,0.02122194644610676,0.14234675594790613,0.19503936093772728,5
rmse,ensemble,0.015987844445135013,0.015987844445135013,0.0022134825368159824,0.013239883477923433,0.018735805412346596,5
spearman,aleatoric,0.4604153254244497,0.4604153254244497,0.008387337026661824,0.450002740556593,0.47082791029230636,5
spearman,epistemic,0.48960102151815377,0.48960102151815377,0.009502153183334222,0.47780443147600765,0.5013976115602998,5
spearman,total,0.4983050783653308,0.4983050783653308,0.008757871242629082,0.48743248825886987,0.5091776684717917,5
