phase,source_epoch,epoch,pearson_aleatoric,pearson_aleatoric_mean,pearson_aleatoric_std,pearson_aleatoric_ci95_low,pearson_aleatoric_ci95_high,pearson_aleatoric_n,pearson_epistemic,pearson_epistemic_mean,pearson_epistemic_std,pearson_epistemic_ci95_low,pearson_epistemic_ci95_high,pearson_epistemic_n,pearson_total,pearson_total_mean,pearson_total_std,pearson_total_ci95_low,pearson_total_ci95_high,pearson_total_n,spearman_aleatoric,spearman_aleatoric_mean,spearman_aleatoric_std,spearman_aleatoric_ci95_low,spearman_aleatoric_ci95_high,spearman_aleatoric_n,spearman_epistemic,spearman_epistemic_mean,spearman_epistemic_std,spearman_epistemic_ci95_low,spearman_epistemic_ci95_high,spearman_epistemic_n,spearman_total,spearman_total_mean,spearman_total_std,spearman_total_ci95_low,spearman_total_ci95_high,spearman_total_n,ause_aleatoric,ause_aleatoric_mean,ause_aleatoric_std,ause_aleatoric_ci95_low,ause_aleatoric_ci95_high,ause_aleatoric_n,ause_epistemic,ause_epistemic_mean,ause_epistemic_std,ause_epistemic_ci95_low,ause_epistemic_ci95_high,ause_epistemic_n,ause_total,ause_total_mean,ause_total_std,ause_total_ci95_low,ause_total_ci95_high,ause_total_n,ence_aleatoric,ence_aleatoric_mean,ence_aleatoric_std,ence_aleatoric_ci95_low,ence_aleatoric_ci95_high,ence_aleatoric_n,ence_epistemic,ence_epistemic_mean,ence_epistemic_std,ence_epistemic_ci95_low,ence_epistemic_ci95_high,ence_epistemic_n,ence_total,ence_total_mean,ence_total_std,ence_total_ci95_low,ence_total_ci95_high,ence_total_n,magnitude_aleatoric,magnitude_aleatoric_mean,magnitude_aleatoric_std,magnitude_aleatoric_ci95_low,magnitude_aleatoric_ci95_high,magnitude_aleatoric_n,magnitude_epistemic,magnitude_epistemic_mean,magnitude_epistemic_std,magnitude_epistemic_ci95_low,magnitude_epistemic_ci95_high,magnitude_epistemic_n,magnitude_total,magnitude_total_mean,magnitude_total_std,magnitude_total_ci95_low,magnitude_total_ci95_high,magnitude_total_n,rmse_e_atom,rmse_e_atom_mean,rmse_e_atom_std,rmse_e_atom_ci95_low,rmse_e_atom_ci95_high,rmse_e_atom_n,nll_energy,nll_energy_mean,nll_energy_std,nll_energy_ci95_low,nll_energy_ci95_high,nll_energy_n
finetune,0,300,0.4058647718071377,0.4058647718071377,0.2908155768081031,0.04482742887181096,0.7669021147424644,5,0.5019374270551266,0.5019374270551266,0.34906562192481694,0.0685846952894471,0.935290158820806,5,0.4317658432152454,0.4317658432152454,0.30668496089807334,0.05102721629524537,0.8125044701352455,5,0.42977358434341745,0.42977358434341745,0.022052192703149114,0.40239656022790277,0.45715060845893213,5,0.4202405493713431,0.4202405493713431,0.018807803640390926,0.39689132053255655,0.4435897782101296,5,0.44423896833103926,0.44423896833103926,0.02204603238070746,0.4168695920398618,0.47160834462221674,5,0.2096474441412112,0.2096474441412112,0.01508377169527874,0.19092147040184723,0.22837341788057516,5,0.21487606489996045,0.21487606489996045,0.016515371793527397,0.19437280982893415,0.23537931997098674,5,0.20125906070860422,0.20125906070860422,0.01464099544631182,0.18308277815908794,0.2194353432581205,5,0.3988060675070285,0.3988060675070285,0.15054046997533096,0.21191535181475124,0.5856967831993058,5,1.596509803106652,1.596509803106652,0.6031307607728016,0.8477441087034931,2.345275497509811,5,0.3478880481072864,0.3478880481072864,0.04141466217247346,0.29647319697233376,0.39930289924223905,5,0.0021807656919551666,0.0021807656919551666,0.0015943048976465497,0.00020149205609038337,0.00416003932781995,5,0.0006802355126447333,0.0006802355126447333,0.0008428896528391371,-0.00036618244057765015,0.0017266534658671167,5,0.002861001148790092,0.002861001148790092,0.0021742809101216094,0.0001617076267539739,0.00556029467082621,5,0.034994327808372236,0.034994327808372236,0.009303473537173161,0.02344439158144681,0.04654426403529766,5,-3.168534592472315,-3.168534592472315,0.0723682545598911,-3.2583772433575904,-3.0786919415870395,5
finetune,5,305,0.40747053447801784,0.40747053447801784,0.3672733202191109,-0.048486416378297315,0.863427485334333,5,0.48399618668414,0.48399618668414,0.43050435472294807,-0.05045987669867191,1.018452250066952,5,0.431134630034024,0.431134630034024,0.3883293462117625,-0.05096263889122454,0.9132318989592726,5,0.4943579463892176,0.4943579463892176,0.015462945866287651,0.4751612412099724,0.5135546515684628,5,0.5230873807572076,0.5230873807572076,0.005499392007665594,0.5162600783822819,0.5299146831321333,5,0.5346581962114254,0.5346581962114254,0.010283895364606055,0.5218911006582451,0.5474252917646057,5,0.1732379910459987,0.1732379910459987,0.015204723057539475,0.1543618604308088,0.19211412166118863,5,0.16803840050396296,0.16803840050396296,0.015340400912445217,0.14899383058862284,0.18708297041930308,5,0.15756549967146208,0.15756549967146208,0.014230101146874258,0.1398993279891986,0.17523167135372555,5,1.63204401835475,1.63204401835475,0.41909024435817205,1.1117581728237438,2.152329863885756,5,1.6634992532592636,1.6634992532592636,0.5797034740906252,0.9438177139373104,2.383180792581217,5,0.2596622885263165,0.2596622885263165,0.09398389661578885,0.14298457584910684,0.3763400012035262,5,0.001297370449928985,0.001297370449928985,0.0010168813224797335,3.494793880297656e-05,0.0025597929610549934,5,0.0003188460973609858,0.0003188460973609858,0.00027558550709318684,-2.328364797264345e-05,0.0006609758426946151,5,0.001616216543116334,0.001616216543116334,0.001256607313267525,5.618261895493082e-05,0.003176250467277737,5,0.03192733287905279,0.03192733287905279,0.00890010729132615,0.020878161704772732,0.04297650405333285,5,-3.4923097171449653,-3.4923097171449653,0.03320929003933127,-3.533537886447878,-3.4510815478420525,5
finetune,10,310,0.3886900311983293,0.3886900311983293,0.37740542861122783,-0.07984557700630407,0.8572256394029627,5,0.46584045384282174,0.46584045384282174,0.44796838383058807,-0.09029658940761282,1.0219774970932562,5,0.41747017225034383,0.41747017225034383,0.4050282111268275,-0.08535815202325431,0.920298496523942,5,0.4790811575408475,0.4790811575408475,0.01430707828954412,0.46131942143469273,0.4968428936470023,5,0.5198439620030907,0.5198439620030907,0.010228740383921709,0.5071453394247575,0.5325425845814239,5,0.5278441985729432,0.5278441985729432,0.010797114803964242,0.5144399590787047,0.5412484380671817,5,0.17744108381463553,0.17744108381463553,0.017284041413887802,0.1559835523586371,0.19889861527063396,5,0.16836173247142563,0.16836173247142563,0.0182315722413146,0.14572787471255788,0.1909955902302934,5,0.16035839239733513,0.16035839239733513,0.016570998650453618,0.1397860785336509,0.18093070626101934,5,4.882951875455497,4.882951875455497,0.757587665372081,3.9424333490802876,5.823470401830706,5,1.4635723081044856,1.4635723081044856,0.5272443187547684,0.8090169709721311,2.1181276452368403,5,0.383618457964117,0.383618457964117,0.11385976682236146,0.2422655492514367,0.5249713666767972,5,0.001448554771803631,0.001448554771803631,0.0012040338344963878,-4.621102163132563e-05,0.002943320565238588,5,0.0003533517818391556,0.0003533517818391556,0.00031978127079076865,-4.364545467051004e-05,0.0007503490183488213,5,0.0018019065924673807,0.0018019065924673807,0.0014912215272813996,-4.939265307782933e-05,0.003653205838012591,5,0.03196517626626637,0.03196517626626637,0.009191123710698345,0.02055471841004898,0.043375634122483755,5,-3.505518637608289,-3.505518637608289,0.0393242350739636,-3.5543382967885,-3.4566989784280784,5
finetune,15,315,0.39211424122935334,0.39211424122935334,0.3620074656090575,-0.05730533574360924,0.841533818202316,5,0.47516540968904974,0.47516540968904974,0.44742267371202854,-0.08029415358118541,1.030624972959285,5,0.42741977830825373,0.42741977830825373,0.3963430537142307,-0.06462622752960218,0.9194657841461096,5,0.4696307455645742,0.4696307455645742,0.019883054242087753,0.4449466308008759,0.4943148603282725,5,0.516933729767643,0.516933729767643,0.010138317117981977,0.5043473645038344,0.5295200950314515,5,0.5229464299846817,0.5229464299846817,0.012554451844531665,0.5073605181648684,0.5385323418044949,5,0.1807900301899254,0.1807900301899254,0.016784033367146428,0.1599532411942282,0.20162681918562259,5,0.1687407321105227,0.1687407321105227,0.01721741228197239,0.14736591838585372,0.1901155458351917,5,0.16179506153416584,0.16179506153416584,0.016733552884908978,0.14102094228737666,0.18256918078095502,5,9.018834617273422,9.018834617273422,0.9341856632274722,7.859075867890899,10.178593366655944,5,1.360984010743166,1.360984010743166,0.5313725562914152,0.701303611440499,2.0206644100458333,5,0.48180404590802456,0.48180404590802456,0.11310013010175968,0.3413941995519496,0.6222138922640995,5,0.0017072048223497223,0.0017072048223497223,0.0015246596923958297,-0.00018560673288002972,0.0036000163775794744,5,0.00036426124048306857,0.00036426124048306857,0.0003453018152280925,-6.441885722352042e-05,0.0007929413381896576,5,0.002071466069259391,0.002071466069259391,0.0018045532021629535,-0.000168823465589882,0.004311755604108664,5,0.032055319599207176,0.032055319599207176,0.009244390676575991,0.0205787326723335,0.043531906526080855,5,-3.4979996924090386,-3.4979996924090386,0.048202044660343266,-3.5578408409445714,-3.438158543873506,5
finetune,20,320,0.38247840585632237,0.38247840585632237,0.3742208140659659,-0.08210361503942609,0.8470604267520708,5,0.4528914797727195,0.4528914797727195,0.4487898144773826,-0.10426534082726202,1.010048300372701,5,0.4095040967597183,0.4095040967597183,0.4049349570467546,-0.09320845584285403,0.9122166493622905,5,0.4664089770461327,0.4664089770461327,0.02198711966119623,0.43911273883081375,0.49370521526145167,5,0.5183278784503151,0.5183278784503151,0.011570366382285284,0.5039636742309347,0.5326920826696956,5,0.5233226392296636,0.5233226392296636,0.013554768040697574,0.506494869922288,0.5401504085370392,5,0.182579366358584,0.182579366358584,0.017457190520721658,0.16090687635686718,0.2042518563603008,5,0.16838420829505935,0.16838420829505935,0.01969412315684179,0.14393464484997937,0.19283377174013933,5,0.16265150020817132,0.16265150020817132,0.01877827052969268,0.1393389356909185,0.18596406472542415,5,13.474299731308658,13.474299731308658,1.3971084698208673,11.73983854710117,15.208760915516146,5,1.3227191137362078,1.3227191137362078,0.4811579472139062,0.7253783911347058,1.9200598363377097,5,0.5680702399984812,0.5680702399984812,0.07666297253433797,0.472895847315984,0.6632446326809783,5,0.001600834942626534,0.001600834942626534,0.0013199449919671143,-3.7830489091564756e-05,0.0032395003743446327,5,0.00036847786652751324,0.00036847786652751324,0.00034242928831103493,-5.66360897191601e-05,0.0007935918227741866,5,0.0019693128284198748,0.0019693128284198748,0.001586701329369587,-5.212440017392413e-07,0.003939146900841489,5,0.032047199012588845,0.032047199012588845,0.009529291882864617,0.020216917226428495,0.043877480798749195,5,-3.4807609264624118,-3.4807609264624118,0.050538696740941934,-3.5435029466355745,-3.418018906289249,5
finetune,25,325,0.34293799109599227,0.34293799109599227,0.383770801475928,-0.13350000435724574,0.8193759865492303,5,0.4180901370008795,0.4180901370008795,0.4753200572940668,-0.17200304993509474,1.0081833239368536,5,0.37154695674615623,0.37154695674615623,0.41767030321075926,-0.14697608163190068,0.8900699951242131,5,0.4617384396587882,0.4617384396587882,0.018159010390843965,0.43919466489334164,0.48428221442423475,5,0.5189492163459446,0.5189492163459446,0.009354991952316026,0.5073353218127978,0.5305631108790914,5,0.5236069647037389,0.5236069647037389,0.011041565843731518,0.5098992478138119,0.5373146815936659,5,0.1852393586874122,0.1852393586874122,0.017078864659480112,0.1640365469787412,0.2064421703960832,5,0.16819057153034347,0.16819057153034347,0.01790186154308194,0.1459660380440398,0.19041510501664716,5,0.16289289644003963,0.16289289644003963,0.01761081961347577,0.14102968130573437,0.18475611157434488,5,17.317688270623997,17.317688270623997,1.7082868375307105,15.19691005247356,19.43846648877443,5,1.3085641484590909,1.3085641484590909,0.49424553452062325,0.6949756450526111,1.9221526518655705,5,0.6012243289411072,0.6012243289411072,0.10722570389968315,0.46810737676403574,0.7343412811181786,5,0.0015817562565361958,0.0015817562565361958,0.001385196997243719,-0.00013791725206979428,0.003301429765142186,5,0.00033011208663466735,0.00033011208663466735,0.00023985370239324816,3.2342124118525824e-05,0.0006278820491508088,5,0.001911868307256841,0.001911868307256841,0.0015704198934740645,-3.775293330958657e-05,0.0038614895478232686,5,0.03196657113476196,0.03196657113476196,0.009503191155723862,0.02016869248628428,0.04376444978323964,5,-3.4743665099751944,-3.4743665099751944,0.06222398424100523,-3.551615404906452,-3.397117615043937,5
finetune,30,330,0.38318212167708,0.38318212167708,0.377122667021488,-0.08500244792719941,0.8513666912813593,5,0.4391948642351708,0.4391948642351708,0.45963570305035373,-0.13142674678331706,1.0098164752536587,5,0.4076285563913823,0.4076285563913823,0.40558294495956765,-0.09588845048720918,0.9111455632699738,5,0.4614310684029701,0.4614310684029701,0.018125534232101694,0.43892885311496505,0.48393328369097516,5,0.5206330476118517,0.5206330476118517,0.010904998511736886,0.5070948742766967,0.5341712209470066,5,0.5251359912218522,0.5251359912218522,0.011752309172782837,0.5105459114067817,0.5397260710369226,5,0.18569823161790933,0.18569823161790933,0.01603488965185585,0.1657914782805967,0.20560498495522195,5,0.1677824638615122,0.1677824638615122,0.018688818360258635,0.14458095107651778,0.1909839766465066,5,0.162915956869851,0.162915956869851,0.018145379481317173,0.14038910440069738,0.18544280933900462,5,21.553706524784616,21.553706524784616,2.325548334472245,18.666619798685495,24.440793250883736,5,1.3435467677296609,1.3435467677296609,0.45527496347517293,0.7783388620110616,1.90875467344826,5,0.6517918974526561,0.6517918974526561,0.07390111705203777,0.5600462515238412,0.7435375433814709,5,0.0016139162547999628,0.0016139162547999628,0.0014084409073538862,-0.0001346137533020631,0.0033624462629019886,5,0.00030618108489889097,0.00030618108489889097,0.00019791383461936453,6.047799785872628e-05,0.0005518841719390556,5,0.0019200973539229519,0.0019200973539229519,0.0015623676039715254,-1.9527251530422444e-05,0.003859721959376326,5,0.032135122102902876,0.032135122102902876,0.009478685882745105,0.020367665891700602,0.04390257831410515,5,-3.4641988619565964,-3.4641988619565964,0.04996668269625536,-3.5262307467474594,-3.4021669771657335,5
finetune,35,335,0.36569956810081716,0.36569956810081716,0.37057126494301246,-0.09435166550793356,0.8257508017095678,5,0.44026381828367966,0.44026381828367966,0.4541760081372222,-0.1235797729110103,1.0041074094783697,5,0.39629691349222584,0.39629691349222584,0.40480445521954067,-0.10625362566710983,0.8988474526515615,5,0.4587682910165299,0.4587682910165299,0.02021802889909259,0.4336683169600004,0.48386826507305936,5,0.5209366196325836,0.5209366196325836,0.010082389645111328,0.5084196863655888,0.5334535528995785,5,0.5243898619510599,0.5243898619510599,0.011921808437310322,0.5095893547415349,0.5391903691605848,5,0.1865165413173607,0.1865165413173607,0.01690829761680736,0.1655254826122764,0.207507600022445,5,0.16737438461607898,0.16737438461607898,0.017124434253015717,0.146114999854653,0.18863376937750495,5,0.16309495270306734,0.16309495270306734,0.01723448647204948,0.14169894197001984,0.18449096343611485,5,26.14048698839058,26.14048698839058,2.9867327665073704,22.432562970313523,29.84841100646764,5,1.330090472940509,1.330090472940509,0.4769487127009759,0.7379753674157113,1.9222055784653067,5,0.6842086144043732,0.6842086144043732,0.09353406495386879,0.5680893519648376,0.8003278768439088,5,0.0015774163085853377,0.0015774163085853377,0.0013731521220320545,-0.0001273039097253513,0.0032821365268960265,5,0.0003081143812457719,0.0003081143812457719,0.00021124106495749523,4.586600497874857e-05,0.0005703627575127952,5,0.001885530657948168,0.001885530657948168,0.001526504671183643,-9.571373763741847e-06,0.003780632689660078,5,0.03222814806233457,0.03222814806233457,0.009612758272051273,0.020294245680238125,0.04416205044443102,5,-3.4565432481992238,-3.4565432481992238,0.06191574046447471,-3.5334094692886038,-3.3796770271098437,5
finetune,40,340,0.3455106155163685,0.3455106155163685,0.3515481480450521,-0.09092408539296742,0.7819453164257044,5,0.43651424130905425,0.43651424130905425,0.45525345380688914,-0.1286669609104758,1.0016954435285843,5,0.38479177097185024,0.38479177097185024,0.39588400726474343,-0.10668434479262717,0.8762678867363276,5,0.45755254454406263,0.45755254454406263,0.018661239331293145,0.4343852701566387,0.4807198189314866,5,0.5198235430994455,0.5198235430994455,0.011327321487475226,0.505761070596087,0.5338860156028039,5,0.5232797602036358,0.5232797602036358,0.012469042111455513,0.5077998815730659,0.5387596388342056,5,0.18715314763858337,0.18715314763858337,0.01720129357703937,0.16579834472098479,0.20850795055618196,5,0.1674909030230585,0.1674909030230585,0.01837155736645376,0.14468325863905387,0.19029854740706312,5,0.16346343880208444,0.16346343880208444,0.01870658370957711,0.1402398709587446,0.18668700664542429,5,29.697089906265262,29.697089906265262,3.638943187277324,25.179469516577086,34.21471029595344,5,1.318466989082986,1.318466989082986,0.49125170644526567,0.7085952182717672,1.928338759894205,5,0.70299300648894,0.70299300648894,0.10852601237730863,0.5682617669242711,0.837724246053609,5,0.0016396250601628912,0.0016396250601628912,0.00147609518439329,-0.0001928953609995547,0.003472145481325337,5,0.0003036901339610222,0.0003036901339610222,0.00020403216131574664,5.0391358829054685e-05,0.0005569889090929897,5,0.001943315185661372,0.001943315185661372,0.0016362618324614294,-8.80465138124334e-05,0.003974676885135178,5,0.03216324239795438,0.03216324239795438,0.009561175154703196,0.02029337864759862,0.04403310614831014,5,-3.4522786384749415,-3.4522786384749415,0.0603762840379919,-3.52723367838248,-3.3773235985674033,5
finetune,45,345,0.34776813205707097,0.34776813205707097,0.37456963762310597,-0.11724694105549938,0.8127832051696413,5,0.4345958093679271,0.4345958093679271,0.4622237225872332,-0.1392387371724989,1.0084303559083532,5,0.3770260121560544,0.3770260121560544,0.409199717850591,-0.13098109146669185,0.8850331157788007,5,0.45959969431469416,0.45959969431469416,0.015149189158494353,0.44079250708821177,0.47840688154117655,5,0.5190177132998979,0.5190177132998979,0.008162844357059829,0.5088838282108877,0.529151598388908,5,0.5226581612214711,0.5226581612214711,0.009305965409180824,0.5111051314228104,0.5342111910201318,5,0.18686038255550963,0.18686038255550963,0.016777283382720883,0.16603197342882978,0.20768879168218948,5,0.1680787761725255,0.1680787761725255,0.016811682494809372,0.14720766175418257,0.18894989059086845,5,0.16401006280818184,0.16401006280818184,0.017227114124336636,0.14262320458635347,0.1853969210300102,5,33.87686476199171,33.87686476199171,3.9200778225866064,29.01022557883591,38.74350394514751,5,1.3257553854793964,1.3257553854793964,0.46382957197399527,0.7499272332246059,1.901583537734187,5,0.7317048576872537,0.7317048576872537,0.08989020024513973,0.6201093255337454,0.8433003898407619,5,0.0015803441749013994,0.0015803441749013994,0.0014402859670939816,-0.0002077203584154412,0.00336840870821824,5,0.0002938583611655159,0.0002938583611655159,0.00018445709501333006,6.486134456786089e-05,0.0005228553777631708,5,0.0018742025218307229,0.0018742025218307229,0.0015743801203614136,-8.033520157518098e-05,0.0038287402452366268,5,0.03215049668695972,0.03215049668695972,0.009681260224124558,0.020131551532966835,0.0441694418409526,5,-3.442870869387388,-3.442870869387388,0.06608103248252818,-3.524908154486658,-3.360833584288118,5
