epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
0,-3.6562954142618183,-3.6562954142618183,0.026405125890006508,-3.6890764523198016,-3.623514376203835,5,-3.432525270915032,-3.432525270915032,0.020367083749506992,-3.457810291342653,-3.4072402504874106,5,0.009000911282852433,0.009000911282852433,0.00038305821474197017,0.008525357938846902,0.009476464626857964,5,0.010318044243992401,0.010318044243992401,0.0012522312746193196,0.008763443018393678,0.011872645469591124,5
5,-4.414116386423112,-4.414116386423112,0.011291650423288144,-4.42813457455087,-4.400098198295354,5,-3.8357834868907927,-3.8357834868907927,0.01712487093918737,-3.857043413782791,-3.8145235599987943,5,0.0031448960573304844,0.0031448960573304844,0.0006886549943490517,0.0022899550253272895,0.003999837089333679,5,0.007432007457596401,0.007432007457596401,0.0009290340093379199,0.00627864430590648,0.008585370609286321,5
10,-4.799017241888047,-4.799017241888047,0.015424452052202713,-4.8181661583466555,-4.779868325429438,5,-3.8957952263593674,-3.8957952263593674,0.02573306756823238,-3.9277419275724883,-3.8638485251462464,5,0.002260863713418428,0.002260863713418428,0.0006435044710469719,0.0014619754731674398,0.0030597519536694163,5,0.007228566278387158,0.007228566278387158,0.0008560478509104893,0.006165812883571037,0.008291319673203278,5
15,-5.05340631606102,-5.05340631606102,0.017165929860532603,-5.074717216164388,-5.032095415957651,5,-3.9040006700515746,-3.9040006700515746,0.03130573041389339,-3.942865636816198,-3.8651357032869513,5,0.0019728797803050153,0.0019728797803050153,0.0006556016601297569,0.0011589733039217964,0.0027867862566882343,5,0.00719268804592154,0.00719268804592154,0.0008426683422796222,0.006146544841999891,0.008238831249843188,5
20,-5.232944494986535,-5.232944494986535,0.026823518572989924,-5.266244952892058,-5.199644037081012,5,-3.8990226536273958,-3.8990226536273958,0.02983147518956714,-3.936057384216773,-3.8619879230380185,5,0.0018126565817015224,0.0018126565817015224,0.0007101734226672782,0.0009310011753535062,0.0026943119880495385,5,0.007153792241672422,0.007153792241672422,0.0008414973538459399,0.006109102778837632,0.00819848170450721,5
25,-5.3776036534023275,-5.3776036534023275,0.024282728045702414,-5.407749808945524,-5.347457497859131,5,-3.8966890110492707,-3.8966890110492707,0.026890174708901596,-3.9300722202106377,-3.8633058018879036,5,0.0017321211444561579,0.0017321211444561579,0.0007269627742197072,0.0008296223467718659,0.00263461994214045,5,0.007151414130826958,0.007151414130826958,0.0008196054915140549,0.006133902647572765,0.008168925614081151,5
30,-5.489578042564392,-5.489578042564392,0.021555625802003837,-5.51633859628122,-5.462817488847564,5,-3.9009250613212587,-3.9009250613212587,0.02972928938634009,-3.9378329318184506,-3.864017190824067,5,0.0016973026617672729,0.0016973026617672729,0.0007346668401125736,0.0007852395363730021,0.0026093657871615436,5,0.007164378990619921,0.007164378990619921,0.0008342742556897428,0.006128656750912231,0.00820010123032761,5
35,-5.570138746623993,-5.570138746623993,0.02629364934306905,-5.6027813904571975,-5.537496102790788,5,-3.8970036797761916,-3.8970036797761916,0.029235201619051288,-3.933298157632464,-3.860709201919919,5,0.0016606360556948169,0.0016606360556948169,0.0007549471817748599,0.000723395597133128,0.0025978765142565057,5,0.007153952837250942,0.007153952837250942,0.0008386501393295408,0.006112798091418075,0.008195107583083809,5
40,-5.646746510906221,-5.646746510906221,0.021649167447210294,-5.673623193296106,-5.619869828516335,5,-3.8926956227064133,-3.8926956227064133,0.029985501642134444,-3.929921571736656,-3.8554696736761707,5,0.001624592307178982,0.001624592307178982,0.000759826678570777,0.000681294124414914,0.00256789048994305,5,0.007143069378058099,0.007143069378058099,0.0008348623836565542,0.006106616998098727,0.00817952175801747,5
45,-5.71208070611,-5.71208070611,0.01620582451278694,-5.7321996690843715,-5.691961743135629,5,-3.8827816413640974,-3.8827816413640974,0.026162567956594277,-3.915261552251562,-3.850301730476633,5,0.001610701147724917,0.001610701147724917,0.0007667281552576766,0.0006588350236121897,0.0025625672718376444,5,0.00715278692295179,0.00715278692295179,0.000842885088377398,0.006106374636348631,0.008199199209554949,5
50,-5.7778784566354755,-5.7778784566354755,0.020418945621939685,-5.803227861759502,-5.752529051511449,5,-3.881352721977234,-3.881352721977234,0.025753117146401543,-3.913324314038736,-3.849381129915732,5,0.0015964238726618313,0.0015964238726618313,0.0007739814870497509,0.0006355529914230206,0.002557294753900642,5,0.007162180002967205,0.007162180002967205,0.0008490877607610773,0.00610806731605853,0.00821629268987588,5
55,-5.946586801662445,-5.946586801662445,0.03241668814565571,-5.986830983502104,-5.9063426198227855,5,-3.8786702512502673,-3.8786702512502673,0.03233882307108097,-3.9188177663297052,-3.8385227361708294,5,0.0015675271380223416,0.0015675271380223416,0.0007816516530525127,0.0005971340145986244,0.0025379202614460587,5,0.007161233062463873,0.007161233062463873,0.0008454112544226179,0.006111684629280156,0.00821078149564759,5
60,-5.978098317050934,-5.978098317050934,0.02439938500615768,-6.008389298120672,-5.947807335981196,5,-3.8752843127012246,-3.8752843127012246,0.02601980955811502,-3.907586994041928,-3.842981631360521,5,0.001556139272375759,0.001556139272375759,0.0007880677213773949,0.0005777808250669479,0.0025344977196845703,5,0.007157707978366146,0.007157707978366146,0.0008524656735861021,0.006099401731111084,0.008216014225621208,5
65,-5.991216282238961,-5.991216282238961,0.04576809447155261,-6.048035766946707,-5.934396797531215,5,-3.8723212465047836,-3.8723212465047836,0.02240734241340419,-3.9001391765344247,-3.8445033164751425,5,0.0015478800362165902,0.0015478800362165902,0.0007824036104479956,0.0005765533840491742,0.0025192066883840064,5,0.007160550036519264,0.007160550036519264,0.0008445192304270487,0.0061121090198526734,0.008208991053185856,5
