metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n
ause,aleatoric,0.2654268253549065,0.2654268253549065,0.01092361474520455,0.251865540618566,0.2789881100912471,5
ause,epistemic,0.2572640275485205,0.2572640275485205,0.0080037825451865,0.24732761212242024,0.26720044297462076,5
ause,total,0.2461971466549712,0.2461971466549712,0.009662902517427307,0.23420099195024208,0.2581933013597003,5
ence,aleatoric,0.2837592347880772,0.2837592347880772,0.022186367910935482,0.25621563685612986,0.3113028327200245,5
ence,epistemic,0.8123448134319269,0.8123448134319269,0.08141772180057912,0.7112675662316329,0.9134220606322209,5
ence,total,0.4112514421975063,0.4112514421975063,0.021711083742569852,0.3842978928976485,0.43820499149736414,5
rmse,ensemble,0.007858037251927819,0.007858037251927819,0.0002714119824852388,0.007521088791075808,0.00819498571277983,5
spearman,aleatoric,0.42016051824137113,0.42016051824137113,0.01897265668803604,0.3966066301234984,0.44371440635924386,5
spearman,epistemic,0.44955176213903003,0.44955176213903003,0.012007245537060006,0.43464518776549593,0.46445833651256413,5
spearman,total,0.45665986064670105,0.45665986064670105,0.015732328314884424,0.43712872660177315,0.47619099469162895,5
