metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n
ause,aleatoric,0.26806319274318174,0.26806319274318174,0.011830968924072737,0.2533754596046086,0.2827509258817549,5
ause,epistemic,0.2601553029605232,0.2601553029605232,0.009096573294213855,0.24886222613153844,0.2714483797895079,5
ause,total,0.24884885090640432,0.24884885090640432,0.009331793733836111,0.23726375614819656,0.2604339456646121,5
ence,aleatoric,0.16292625246669384,0.16292625246669384,0.05157899231243331,0.09889274181313486,0.22695976312025284,5
ence,epistemic,0.17344931167924243,0.17344931167924243,0.041171750911131254,0.12233602635904645,0.22456259699943842,5
ence,total,0.1517901986438425,0.1517901986438425,0.03543769667583547,0.10779554062717739,0.1957848566605076,5
rmse,ensemble,0.007857923720742338,0.007857923720742338,0.00027153922676138317,0.007520817290582538,0.008195030150902139,5
spearman,aleatoric,0.41794103304897623,0.41794103304897623,0.019233015048183318,0.3940639191548563,0.4418181469430962,5
spearman,epistemic,0.44779400703819394,0.44779400703819394,0.01239392783430599,0.43240738014928193,0.46318063392710596,5
spearman,total,0.45569908885560295,0.45569908885560295,0.01506137691866627,0.4370009174462673,0.4743972602649386,5
