metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.1880445723234208,0.1880445723234208,0.018652149476805623,0.1648885826716629,0.21120056197517872,5,0.18723757785640455,0.16415083173342315,0.21357132456365693,5
ause,epistemic,0.27955323094129786,0.27955323094129786,0.022284340185361986,0.2518880038654494,0.3072184580171463,5,0.27880640317296346,0.2515623502696777,0.3090009708007354,5
ause,total,0.17424652160677864,0.17424652160677864,0.01518143254880013,0.1553993053416492,0.1930937378719081,5,0.17367961511105973,0.1549600769064658,0.19466051713005578,5
ence,aleatoric,3.370976684054105,3.370976684054105,0.6368247437287554,2.580381091084843,4.161572277023367,5,3.326727436980209,2.666093206091975,4.151060966161554,5
ence,epistemic,14.67817661388961,14.67817661388961,1.8394073510795776,12.394616875108195,16.961736352671025,5,14.588866390391278,12.527874216333975,16.988917583415045,5
ence,total,1.7140376358708784,1.7140376358708784,0.2898099507774199,1.3542487423965104,2.0738265293452467,5,1.6954145264353995,1.3841209677073048,2.0767190755078686,5
rmse,ensemble,0.13550024656974097,0.13550024656974097,0.08697088354911231,0.027528943746341697,0.24347154939314025,5,0.11888437042439984,0.06088167659790303,0.23214691711845398,5
spearman,aleatoric,0.5356925107702941,0.5356925107702941,0.017014789855080398,0.5145692456848937,0.5568157758556945,5,0.5354792551704202,0.5149774629468074,0.5567972452174775,5
spearman,epistemic,0.448739667033246,0.448739667033246,0.011258674792592077,0.4347624169949079,0.46271691707158413,5,0.44862625546585916,0.43482852446285586,0.4628618082080559,5
spearman,total,0.5588145831743763,0.5588145831743763,0.01456644412170071,0.5407308534806778,0.5768983128680747,5,0.5586623594191733,0.5408415096311586,0.5770704102291353,5
