metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.20647127270616158,0.20647127270616158,0.027839586418552456,0.17190940219258555,0.24103314321973762,5,0.20485865717323332,0.1715860217766658,0.24458326490863075,5
ause,epistemic,0.29257664377982345,0.29257664377982345,0.027152990980820482,0.25886715743091626,0.32628613012873064,5,0.2914975740333972,0.258167788422091,0.3291302768121985,5
ause,total,0.19054393621535043,0.19054393621535043,0.02136694772143149,0.16401761972070827,0.21707025270999258,5,0.1895323359433654,0.16390118052705036,0.21917173660759603,5
ence,aleatoric,22.438847303400784,22.438847303400784,20.296581049568974,-2.7586464939937407,47.636341100795306,5,16.15633121865153,5.195803150033071,50.23805385027194,5
ence,epistemic,26.303811952610136,26.303811952610136,25.390028467534158,-5.217018243564631,57.8246421487849,5,19.442568348626445,6.983223056186468,54.131661118303704,5
ence,total,21.45981119880293,21.45981119880293,20.52765011284682,-4.024546739625677,46.94416913723154,5,14.754111280922826,4.350521097407205,50.036258833358595,5
rmse,ensemble,0.1355004559435823,0.1355004559435823,0.08697107032444897,0.02752892124515069,0.24347199064201389,5,0.11888455043962773,0.060881776479020724,0.2321472392991468,5
spearman,aleatoric,0.5247003094387312,0.5247003094387312,0.025379303770225157,0.4931927935782696,0.5562078252991929,5,0.5242063347693926,0.4935072144200921,0.5568151252566024,5
spearman,epistemic,0.4416976931956304,0.4416976931956304,0.014323809107864089,0.42391518636509534,0.45948020002616546,5,0.44151260813242726,0.4241374829111054,0.4595995190096278,5
spearman,total,0.5496809906277008,0.5496809906277008,0.017155541088449494,0.528382987820655,0.5709789934347467,5,0.549466038979513,0.5285244870372521,0.5712373511476599,5
